,Token,ATH date,Price,24hr change,24 hrs High,3 days High,7 days High,30 days High,24 hrs Wick High,24 hrs Volume,cmc_rank,symbol,ratings,contract_address,CATEGORY,self_reported_tags,url,ALGORITHM,OTHERS,date_added,PLATFORM,slug
182,GMEE/USDT,2024-09-30,0.011824,3.57393132445689,-10.410668283073194,-10.410668283073194,-10.410668283073194,-30.966837926202718,-16.96629213483146,77129.0763434507,656.0,GMEE/USDT,4.3,"['Ethereum', 'BNB Smart Chain (BEP20)', 'Polygon', 'TON']","['Collectibles & NFTs', 'Play To Earn', 'Animoca Brands Portfolio', 'Telegram Bot']","['Binance Labs Portfolio', 'Animoca Brands Portfolio', 'Telegram Bot', 'Toncoin Ecosystem']",https://coinmarketcap.com/currencies/gamee,No tags available for this,No tags available for this,2021-04-02,['Polygon Ecosystem'],gamee
425,PIX/USDT,2024-09-29,9.16e-05,-9.297950292108121,-9.940025562874837,-18.338236605152893,-18.338236605152893,-40.90322580645161,-10.284035259549459,105963.529567643915,4252.0,PIX/USDT,3.5,[],No tags available,"['Platform', 'Store Of Value', 'Collectibles & NFTs', 'DAO', 'Wallet', 'DApp', 'Social Token', 'Token']",https://coinmarketcap.com/currencies/pixie,No tags available,No tags available,2022-09-22,No tags available,pixie
370,WOOP/USDT,2024-09-30,0.001866,-8.124076809453461,-9.50533462657614,-20.18819503849443,-29.103343465045583,-38.49703361898483,-9.50533462657614,62695.1138825375,1417.0,WOOP/USDT,3.9,"['Ethereum', 'BNB Smart Chain (BEP20)']",No tags available for this,"['Art', 'Collectibles & NFTs', 'Staking', 'Metaverse']",https://coinmarketcap.com/currencies/woonkly-power,No tags available for this,No tags available for this,2021-03-24,['BNB Chain'],woonkly-power
38,SENSO/USDT,2024-09-19,0.0325,-4.411764705882357,-9.47075208913649,-11.202185792349725,-11.202185792349725,-22.61904761904762,-10.468319559228645,109075.061129,1084.0,SENSO/USDT,3.7,"['Ethereum', 'Polygon']","['Metaverse', 'DWF Labs Portfolio']",,https://coinmarketcap.com/currencies/senso,No tags available for this,No tags available for this,2020-05-04,No tags available for this,senso
643,ZEND/USDT,2024-09-26,0.12043,3.1608703100907993,-9.451127819548882,-12.719234671691549,-12.719234671691549,-31.814064092401768,-9.464742144038492,4329.9519075,,,,,,,,,,,,
734,OPAI/USDT,2024-09-28,0.000738,3.65168539325844,-9.447852760736186,-34.04825737265415,-34.04825737265415,-42.16300940438871,-10.76178960096735,687021.293549,,,,,,,,,,,,
508,INFRA/USDT,2024-10-12,0.1993,0.7583417593528824,-8.995433789954335,-8.995433789954335,-10.063176895306853,-10.063176895306853,-14.463519313304724,17853.52829343,2709.0,INFRA/USDT,no rating found,"['Ethereum', 'Avalanche C-Chain']",['Spartan Group'],,https://coinmarketcap.com/currencies/bware-labs,No tags available for this,No tags available for this,2021-03-31,No tags available for this,bware-labs
452,KING/USDT,2024-10-18,0.0006119,1.8136439267886846,-8.943452380952381,-8.943452380952381,-8.943452380952381,-8.943452380952381,-10.12044653349001,90950.3592922,1592.0,KING/USDT,no rating found,"['Ethereum', 'Solana']",No tags available for this,"['Art', 'Memes', 'Sharing Economy', 'Ethereum Ecosystem', 'Solana Ecosystem', 'Cross-Chain']",https://coinmarketcap.com/currencies/king,No tags available for this,No tags available for this,2023-05-06,['Solana Ecosystem'],king
597,ISSP/USDT,2024-09-24,7.64e-05,-8.72162485065711,-8.72162485065711,-15.580110497237573,-17.583603020496227,-34.13793103448276,-10.328638497652578,13985.56781143374,,,,,,,,,,,,
432,KICKS/USDT,2024-09-21,0.00015974,33.89773679798827,-8.719999999999992,-9.75141242937852,-9.75141242937852,-20.13,-18.082051282051275,66442.30489753,2591.0,KICKS/USDT,4.1,['BNB Smart Chain (BEP20)'],No tags available,"['Collectibles & NFTs', 'DAO Maker', 'Play To Earn', 'Move To Earn']",https://coinmarketcap.com/currencies/getkicks,No tags available,No tags available,2022-10-14,No tags available,getkicks
